ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,SMT Type,image,link,subpart_no
1,100pF,C1,C0805,1,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,https://item.szlcsc.com/373011.html,
2,0.1uF,"C2, C3",C0805,2,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,https://item.szlcsc.com/373011.html,
3,1N4148,"D1, D2, D3, D4, D6, D7, D9, D10, D12, D13, D14, D15, D16, D17, D18, D19",SOD-80_L3.5-W1.5-FD,16,1N4148,SEMTECH,LCSC,C14516,0.004,2,SOD-80_BD1.5-L3.5,LCEDA_Lib,,,https://item.szlcsc.com/79749.html,
4,1N4148,"D5, D8",SOD-80_L3.5-W1.5-RD,2,1N4148W,Tak Cheong,LCSC,C129216,0.02,2,SOD-80_BD1.5-L3.5,LCEDA_Lib,,,https://item.szlcsc.com/69994.html,
5,BZT52C10-TP,D11,SOD-123_L2.8-W1.8-LS3.7-RD,1,BZT52C3V6-TP,Micro Commercial Components,LCSC,C78730,,2,SOD-123_L2.8-W1.8-LS3.7-RD,LCSC,,,https://item.szlcsc.com/301422.html,
6,BZT52C6V2-TP,D20,SOD-123_L2.8-W1.8-LS3.7-RD,1,BZT52C3V6-TP,Micro Commercial Components,LCSC,C78730,,2,SOD-123_L2.8-W1.8-LS3.7-RD,LCSC,,,https://item.szlcsc.com/301422.html,
7,X4611WV-04I-C28D40,"H1, H2, H3",HDR-TH_4P-P2.00-V-M,3,X4611WV-04I-C28D40,XKB Connectivity,LCSC,C706995,0.057,4,HDR-TH_4P-P2.00-M-LI-1X4P,LCSC,,,https://item.szlcsc.com/562479.html,
8,X4611WV-05I-C28D40,"H4, H5",HDR-TH_5P-P2.00-V-M,2,X4611WV-05I-C28D40,XKB Connectivity,LCSC,C706994,0.073,5,HDR-TH_5P-P2.00-M-LI-1X5P,LCSC,,,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,
9,THONKICONNNEW,"OUT, CV-IN",THONKICONN-TIGHT,2,,,,,,3,,rossgrady,,,,
10,BC847,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,8,2n3904S-RTK/PS,KEC,LCSC,C18536,0.013,3,SOT-23-3P_L2.9-W1.3-H1.0-LS2.4-P0.95,lcsc,Extend,//image.lceda.cn/szlcsc/C18536.jpg,https://item.szlcsc.com/70837.html,
11,PTL20 SLIDE POTENTIOMETER,R1,R0805,1,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,https://item.szlcsc.com/142685.html,
12,100k,"R2, R3, R5, R7, R8, R10, R12, R13, R15, R16, R17, R19, R23, R27, R31, R35, R39, R42, R43",R0805,19,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,https://item.szlcsc.com/142685.html,
13,6.8k,"R4, R9, R14, R18, R21, R22, R25, R26, R29, R30, R33, R34, R37, R38, R45",R0805,15,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,https://item.szlcsc.com/142685.html,
14,10k,"R6, R11, R20, R24, R28, R32, R36, R40",R0805,8,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,https://item.szlcsc.com/142685.html,
15,1k,R44,R0805,1,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,https://item.szlcsc.com/142685.html,
16,TL074_SMD,U1,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,,,,,,14,SOIC-14_L8.6-W3.9-H1.8-LS6.0-P1.27,rossgrady,,,https://item.szlcsc.com/7253.html,1
17,PTL20 SLIDE POTENTIOMETER,"VR1, VR2, VR3, VR4, VR5, VR6, VR7, VR8",PLT20 SLIDE POTENTIOMETER,8,,,,,,6,,dogears,,,,1
18,B100K,POT1,9MM_SNAP-IN_POT,1,?,,,,,5,,rossgrady,,,,
